CBSA_CODE,Year,avg_aqi,median_aqi,max_aqi,min_aqi,days_reported,most_common_category,most_common_parameter,CBSA Code,county_fips,County Name,State Name,LAUS Code,State FIPS Code,County FIPS Code,county_state_name,labor_force,employed,unemployed,unemployment_rate,source_year,state_name,county_fips_str,year,Rank,COUNTY_NAME,STATE_NAME,FIPS,Scaled SCI ,Avg_Unemployment,Unemp
12060,2021,56.42,54,150,20,365,Moderate,PM2.5,12060,13121,Fulton County,Georgia,CN1312100000000,13,121,"Fulton County, GA",574215,548391,25824,4.5,2021,Georgia,13121,2021,8,Fulton County,Georgia,13121,125443526,3.675,4.5
12060,2022,55.51,54,169,22,365,Moderate,PM2.5,12060,13121,Fulton County,Georgia,CN1312100000000,13,121,"Fulton County, GA",583348,564641,18707,3.2,2022,Georgia,13121,2022,8,Fulton County,Georgia,13121,125443526,,3.2
12060,2023,60.88,57,172,23,365,Moderate,PM2.5,12060,13121,Fulton County,Georgia,CN1312100000000,13,121,"Fulton County, GA",593642,573366,20276,3.4,2023,Georgia,13121,2023,8,Fulton County,Georgia,13121,125443526,,3.4
12060,2024,59.23,56,161,24,366,Moderate,PM2.5,12060,13121,Fulton County,Georgia,CN1312100000000,13,121,"Fulton County, GA",600762,578881,21881,3.6,2024,Georgia,13121,2024,8,Fulton County,Georgia,13121,125443526,,3.6
12420,2021,50.55,51,101,24,365,Good,PM2.5,12420,48453,Travis County,Texas,CN4845300000000,48,453,"Travis County, TX",759739,728207,31532,4.2,2021,Texas,48453,2021,15,Travis County,Texas,48453,54435725,3.55,4.2
12420,2022,53.16,51,129,21,365,Moderate,PM2.5,12420,48453,Travis County,Texas,CN4845300000000,48,453,"Travis County, TX",798129,774437,23692,3,2022,Texas,48453,2022,15,Travis County,Texas,48453,54435725,,3
12420,2023,55.91,54,122,19,365,Moderate,PM2.5,12420,48453,Travis County,Texas,CN4845300000000,48,453,"Travis County, TX",823276,794704,28572,3.5,2023,Texas,48453,2023,15,Travis County,Texas,48453,54435725,,3.5
12420,2024,55.28,52,141,24,366,Moderate,PM2.5,12420,48453,Travis County,Texas,CN4845300000000,48,453,"Travis County, TX",849812,820055,29757,3.5,2024,Texas,48453,2024,15,Travis County,Texas,48453,54435725,,3.5
12940,2021,53.85,53,159,20,365,Moderate,PM2.5,12940,22033,East Baton Rouge Parish,Louisiana,CN2203300000000,22,33,"East Baton Rouge Parish, LA",221966,209681,12285,5.5,2021,Louisiana,22033,2021,23,East Baton Rouge Parish,Louisiana,22033,5705857,4.275,5.5
12940,2022,56.45,53,156,19,365,Moderate,PM2.5,12940,22033,East Baton Rouge Parish,Louisiana,CN2203300000000,22,33,"East Baton Rouge Parish, LA",222313,214078,8235,3.7,2022,Louisiana,22033,2022,23,East Baton Rouge Parish,Louisiana,22033,5705857,,3.7
12940,2023,60.66,56,154,20,365,Moderate,PM2.5,12940,22033,East Baton Rouge Parish,Louisiana,CN2203300000000,22,33,"East Baton Rouge Parish, LA",221740,213510,8230,3.7,2023,Louisiana,22033,2023,23,East Baton Rouge Parish,Louisiana,22033,5705857,,3.7
12940,2024,56.9,53,159,24,366,Moderate,PM2.5,12940,22033,East Baton Rouge Parish,Louisiana,CN2203300000000,22,33,"East Baton Rouge Parish, LA",225721,216167,9554,4.2,2024,Louisiana,22033,2024,23,East Baton Rouge Parish,Louisiana,22033,5705857,,4.2
16740,2021,52.38,51,128,21,365,Moderate,PM2.5,16740,37119,Mecklenburg County,North Carolina,CN3711900000000,37,119,"Mecklenburg County, NC",608295,577607,30688,5,2021,North Carolina,37119,2021,22,Mecklenburg County,North Carolina,37119,17404368,3.95,5
16740,2022,52.24,52,126,20,365,Moderate,PM2.5,16740,37119,Mecklenburg County,North Carolina,CN3711900000000,37,119,"Mecklenburg County, NC",639648,616358,23290,3.6,2022,North Carolina,37119,2022,22,Mecklenburg County,North Carolina,37119,17404368,,3.6
16740,2023,55.75,53,150,22,365,Moderate,PM2.5,16740,37119,Mecklenburg County,North Carolina,CN3711900000000,37,119,"Mecklenburg County, NC",652601,629711,22890,3.5,2023,North Carolina,37119,2023,22,Mecklenburg County,North Carolina,37119,17404368,,3.5
16740,2024,53.82,53,156,21,366,Moderate,PM2.5,16740,37119,Mecklenburg County,North Carolina,CN3711900000000,37,119,"Mecklenburg County, NC",655802,631808,23994,3.7,2024,North Carolina,37119,2024,22,Mecklenburg County,North Carolina,37119,17404368,,3.7
16980,2021,65.76,61,175,24,365,Moderate,PM2.5,16980,17031,Cook County,Illinois,CN1703100000000,17,31,"Cook County, IL",2618707,2436607,182100,7,2021,Illinois,17031,2021,2,Cook County,Illinois,17031,785752712,5.475,7
16980,2022,61.05,56,202,29,365,Moderate,PM2.5,16980,17031,Cook County,Illinois,CN1703100000000,17,31,"Cook County, IL",2683910,2550641,133269,5,2022,Illinois,17031,2022,2,Cook County,Illinois,17031,785752712,,5
16980,2023,67.64,60,246,29,365,Moderate,PM2.5,16980,17031,Cook County,Illinois,CN1703100000000,17,31,"Cook County, IL",2688831,2569141,119690,4.5,2023,Illinois,17031,2023,2,Cook County,Illinois,17031,785752712,,4.5
16980,2024,61.15,56,166,28,366,Moderate,PM2.5,16980,17031,Cook County,Illinois,CN1703100000000,17,31,"Cook County, IL",2763417,2615254,148163,5.4,2024,Illinois,17031,2024,2,Cook County,Illinois,17031,785752712,,5.4
18140,2021,50.67,52,100,19,365,Moderate,PM2.5,18140,39049,Franklin County,Ohio,CN3904900000000,39,49,"Franklin County, OH",700459,664660,35799,5.1,2021,Ohio,39049,2021,18,Franklin County,Ohio,39049,40561964,3.95,5.1
18140,2022,49.5,48,143,18,365,Good,PM2.5,18140,39049,Franklin County,Ohio,CN3904900000000,39,49,"Franklin County, OH",700192,676052,24140,3.4,2022,Ohio,39049,2022,18,Franklin County,Ohio,39049,40561964,,3.4
18140,2023,57.27,54,210,22,365,Moderate,PM2.5,18140,39049,Franklin County,Ohio,CN3904900000000,39,49,"Franklin County, OH",708139,684701,23438,3.3,2023,Ohio,39049,2023,18,Franklin County,Ohio,39049,40561964,,3.3
18140,2024,54.13,53.5,118,17,366,Moderate,PM2.5,18140,39049,Franklin County,Ohio,CN3904900000000,39,49,"Franklin County, OH",722337,693173,29164,4,2024,Ohio,39049,2024,18,Franklin County,Ohio,39049,40561964,,4
19100,2021,60.48,54,209,26,365,Moderate,PM2.5,19100,48113,Dallas County,Texas,CN4811300000000,48,113,"Dallas County, TX",1354284,1278432,75852,5.6,2021,Texas,48113,2021,3,Dallas County,Texas,48113,520630917,4.375,5.6
19100,2021,60.48,54,209,26,365,Moderate,PM2.5,19100,48439,Tarrant County,Texas,CN4843900000000,48,439,"Tarrant County, TX",1103622,1045144,58478,5.3,2021,Texas,48439,2021,4,Tarrant County,Texas,48439,488345657,4.175,5.3
19100,2022,66.53,58,187,23,365,Moderate,PM2.5,19100,48113,Dallas County,Texas,CN4811300000000,48,113,"Dallas County, TX",1380726,1327910,52816,3.8,2022,Texas,48113,2022,3,Dallas County,Texas,48113,520630917,,3.8
19100,2022,66.53,58,187,23,365,Moderate,PM2.5,19100,48439,Tarrant County,Texas,CN4843900000000,48,439,"Tarrant County, TX",1131621,1089950,41671,3.7,2022,Texas,48439,2022,4,Tarrant County,Texas,48439,488345657,,3.7
19100,2023,69.83,60,177,23,365,Moderate,PM2.5,19100,48113,Dallas County,Texas,CN4811300000000,48,113,"Dallas County, TX",1400967,1344877,56090,4,2023,Texas,48113,2023,3,Dallas County,Texas,48113,520630917,,4
19100,2023,69.83,60,177,23,365,Moderate,PM2.5,19100,48439,Tarrant County,Texas,CN4843900000000,48,439,"Tarrant County, TX",1163674,1119464,44210,3.8,2023,Texas,48439,2023,4,Tarrant County,Texas,48439,488345657,,3.8
19100,2024,69.37,58.5,203,28,366,Moderate,PM2.5,19100,48113,Dallas County,Texas,CN4811300000000,48,113,"Dallas County, TX",1433463,1375000,58463,4.1,2024,Texas,48113,2024,3,Dallas County,Texas,48113,520630917,,4.1
19100,2024,69.37,58.5,203,28,366,Moderate,PM2.5,19100,48439,Tarrant County,Texas,CN4843900000000,48,439,"Tarrant County, TX",1195720,1148713,47007,3.9,2024,Texas,48439,2024,4,Tarrant County,Texas,48439,488345657,,3.9
19780,2021,46.26,45,110,7,365,Good,PM2.5,19780,19153,Polk County,Iowa,CN1915300000000,19,153,"Polk County, IA",268683,257702,10981,4.1,2021,Iowa,19153,2021,25,Polk County,Iowa,19153,1,3.225,4.1
19780,2022,41.97,41,89,8,365,Good,PM2.5,19780,19153,Polk County,Iowa,CN1915300000000,19,153,"Polk County, IA",274570,266862,7708,2.8,2022,Iowa,19153,2022,25,Polk County,Iowa,19153,1,,2.8
19780,2023,52.49,52,166,13,365,Moderate,PM2.5,19780,19153,Polk County,Iowa,CN1915300000000,19,153,"Polk County, IA",280381,272390,7991,2.9,2023,Iowa,19153,2023,25,Polk County,Iowa,19153,1,,2.9
19780,2024,44.29,45,93,7,366,Good,PM2.5,19780,19153,Polk County,Iowa,CN1915300000000,19,153,"Polk County, IA",283313,274640,8673,3.1,2024,Iowa,19153,2024,25,Polk County,Iowa,19153,1,,3.1
26420,2021,66.02,59,179,29,365,Moderate,PM2.5,26420,48201,Harris County,Texas,CN4820100000000,48,201,"Harris County, TX",2319413,2173458,145955,6.3,2021,Texas,48201,2021,1,Harris County,Texas,48201,1000000000,4.8,6.3
26420,2022,68.51,61,179,24,365,Moderate,PM2.5,26420,48201,Harris County,Texas,CN4820100000000,48,201,"Harris County, TX",2360859,2260680,100179,4.2,2022,Texas,48201,2022,1,Harris County,Texas,48201,1000000000,,4.2
26420,2023,74.61,65,205,24,365,Moderate,PM2.5,26420,48201,Harris County,Texas,CN4820100000000,48,201,"Harris County, TX",2432184,2327972,104212,4.3,2023,Texas,48201,2023,1,Harris County,Texas,48201,1000000000,,4.3
26420,2024,74.87,63,201,27,366,Moderate,PM2.5,26420,48201,Harris County,Texas,CN4820100000000,48,201,"Harris County, TX",2497420,2386885,110535,4.4,2024,Texas,48201,2024,1,Harris County,Texas,48201,1000000000,,4.4
